class,alias,section,option,units,default,dependencies
mvMax5.demand.ProjectedHealthFacilityDemandPerYear,p_dem_he,demand (social infrastructure),projected health facility demand per year,kilowatt-hours per year,None,mvMax5.finance.ElectricityDemandMultiplier;mvMax5.demand.SocialInfrastructureDemandCurve;mvMax5.demand.HealthFacilityUnitDemandPerHealthFacilityPerYear;mvMax5.demographics.ProjectedPopulationCount;mvMax5.demand.ProjectedHealthFacilityCount
mvMax5.demand.ProjectedEducationFacilityDemandPerYear,p_dem_ed,demand (social infrastructure),projected education facility demand per year,kilowatt-hours per year,None,mvMax5.finance.ElectricityDemandMultiplier;mvMax5.demand.SocialInfrastructureDemandCurve;mvMax5.demand.EducationFacilityUnitDemandPerEducationFacilityPerYear;mvMax5.demographics.ProjectedPopulationCount;mvMax5.demand.ProjectedEducationFacilityCount
mvMax5.demand.ProjectedCommercialFacilityDemandPerYear,p_dem_co,demand (social infrastructure),projected commercial facility demand per year,kilowatt-hours per year,None,mvMax5.finance.ElectricityDemandMultiplier;mvMax5.demand.SocialInfrastructureDemandCurve;mvMax5.demand.CommercialFacilityUnitDemandPerCommercialFacilityPerYear;mvMax5.demographics.ProjectedPopulationCount;mvMax5.demand.ProjectedCommercialFacilityCount
mvMax5.demand.ProjectedPublicLightingFacilityDemandPerYear,p_dem_li,demand (social infrastructure),projected public lighting facility demand per year,kilowatt-hours per year,None,mvMax5.finance.ElectricityDemandMultiplier;mvMax5.demand.SocialInfrastructureDemandCurve;mvMax5.demand.PublicLightingFacilityUnitDemandPerPublicLightingFacilityPerYear;mvMax5.demographics.ProjectedPopulationCount;mvMax5.demand.ProjectedPublicLightingFacilityCount
mvMax5.costOffGrid.PhotovoltaicComponentInitialCost,og_p_ini,system (off-grid),photovoltaic component initial cost,dollars,None,mvMax5.costOffGrid.PhotovoltaicPanelCost;mvMax5.costOffGrid.PhotovoltaicBatteryCost;mvMax5.costOffGrid.PhotovoltaicBalanceCost
mvMax5.costOffGrid.DieselComponentInitialCost,og_d_ini,system (off-grid),diesel component initial cost,dollars,None,mvMax5.costOffGrid.DieselGeneratorCost;mvMax5.costOffGrid.DieselGeneratorInstallationCost
mvMax5.costOffGrid.PhotovoltaicComponentRecurringCostPerYear,og_p_rec,system (off-grid),photovoltaic component recurring cost per year,dollars per year,None,mvMax5.costOffGrid.PhotovoltaicPanelReplacementCostPerYear;mvMax5.costOffGrid.PhotovoltaicBatteryReplacementCostPerYear;mvMax5.costOffGrid.PhotovoltaicBalanceReplacementCostPerYear;mvMax5.costOffGrid.PhotovoltaicComponentOperationsAndMaintenanceCostPerYear
mvMax5.costOffGrid.DieselComponentRecurringCostPerYear,og_d_rec,system (off-grid),diesel component recurring cost per year,dollars per year,None,mvMax5.costOffGrid.DieselGeneratorOperationsAndMaintenanceCostPerYear;mvMax5.costOffGrid.DieselGeneratorReplacementCostPerYear;mvMax5.costOffGrid.DieselFuelCostPerYear
mvMax5.finance.TimeHorizon,time,finance,time horizon,years,10,
mvMax5.finance.InterestRatePerYear,interest_g,finance,interest rate per year,fraction per year,0.1,
mvMax5.costMiniGrid.GeneratorCost,mg_dg_ini,system (mini-grid),power generation system cost,dollars,None,mvMax5.costMiniGrid.GeneratorCostPerRatedKilowatt;mvMax5.costMiniGrid.GeneratorActualSystemCapacity
mvMax5.costMiniGrid.GeneratorInstallationCost,mg_dg_i,system (mini-grid),power generatation installation cost,dollars,None,mvMax5.costMiniGrid.InstallationCostAsFractionOfGenerationCost;mvMax5.costMiniGrid.GeneratorCost
mvMax5.costMiniGrid.LowVoltageLineEquipmentCost,mg_le,system (mini-grid),low voltage line equipment cost,dollars,None,mvMax5.costDistribution.LowVoltageLineEquipmentCostPerConnection;mvMax5.demand.TargetHouseholdCount
mvMax5.costDistribution.LowVoltageLineInitialCost,di_ll_ini,distribution,low voltage line initial cost,dollars,None,mvMax5.costDistribution.LowVoltageLineLength;mvMax5.costDistribution.LowVoltageLineCostPerMeter
