class,alias,section,option,units,default,dependencies
mvMax4.costOffGrid.PhotovoltaicPanelCostPerPhotovoltaicComponentKilowatt,og_pp_ckw,system (off-grid),photovoltaic panel cost per photovoltaic component kilowatt,dollars per kilowatt,6000,
mvMax4.costOffGrid.PhotovoltaicPanelActualSystemCapacity,og_pp_acp,system (off-grid),photovoltaic panel actual capacity,kilowatts,None,mvMax4.costOffGrid.PhotovoltaicPanelAvailableSystemCapacities;mvMax4.costOffGrid.PhotovoltaicPanelActualSystemCapacityCounts
mvMax4.costOffGrid.PhotovoltaicBatteryCostPerKilowattHour,og_pb_ckwh,system (off-grid),photovoltaic battery cost per kilowatt-hour,dollars per kilowatt-hour,400,
mvMax4.costOffGrid.PhotovoltaicBatteryKilowattHoursPerPhotovoltaicComponentKilowatt,og_pb_hkw,system (off-grid),photovoltaic battery kilowatt-hours per photovoltaic component kilowatt,kilowatt-hours per kilowatt,5,
mvMax4.costOffGrid.PhotovoltaicBalanceCostAsFractionOfPanelCost,og_px_cf,system (off-grid),photovoltaic balance cost as fraction of panel cost,,0.5,
mvMax4.costOffGrid.DieselGeneratorActualSystemCapacity,og_dg_acp,system (off-grid),diesel generator actual system capacity,kilowatts,None,mvMax4.costOffGrid.DieselGeneratorAvailableSystemCapacities;mvMax4.costOffGrid.DieselGeneratorActualSystemCapacityCounts
mvMax4.costOffGrid.PhotovoltaicPanelLifetime,og_pp_life,system (off-grid),photovoltaic panel lifetime,years,30,
mvMax4.costOffGrid.PhotovoltaicBatteryLifetime,og_pb_life,system (off-grid),photovoltaic battery lifetime,years,3,
mvMax4.costOffGrid.PhotovoltaicBalanceLifetime,og_px_life,system (off-grid),photovoltaic balance lifetime,years,10,
mvMax4.costOffGrid.PhotovoltaicComponentOperationsAndMaintenanceCostPerYearAsFractionOfComponentCost,og_p_omf,system (off-grid),photovoltaic component operations and maintenance cost per year as fraction of component cost,,0.05,
mvMax4.costOffGrid.DieselGeneratorEffectiveHoursOfOperationPerYear,og_dg_efhr,system (off-grid),diesel generator hours of operation per year (effective),hours per year,None,mvMax4.demand.ProjectedCommercialFacilityDemandPerYear;mvMax4.demand.ProjectedProductiveDemandPerYear;mvMax4.costOffGrid.DieselGeneratorMinimumHoursOfOperationPerYear;mvMax4.costOffGrid.DieselGeneratorActualSystemCapacity
mvMax4.costMiniGrid.DieselGeneratorAvailableSystemCapacities,mg_dg_cps,system (mini-grid),available system capacities (diesel generator),kilowatts list,1000 750 500 400 200 150 100 70 32 19 12 6,
mvMax4.costMiniGrid.DieselGeneratorActualSystemCapacityCounts,mg_dg_acps,system (mini-grid),diesel generator actual system capacity counts,capacity count list,None,mvMax4.costMiniGrid.DieselGeneratorDesiredSystemCapacity;mvMax4.costMiniGrid.DieselGeneratorAvailableSystemCapacities
mvMax4.demographics.MeanInterhouseholdDistance,mid,demographics,mean interhousehold distance,meters,25,
mvMax4.costMiniGrid.DistributionLoss,mg_loss,system (mini-grid),distribution loss,fraction,0.1,
mvMax4.costMiniGrid.DieselGeneratorMinimumHoursOfOperationPerYear,mg_dg_mnhr,system (mini-grid),diesel generator hours of operation per year (minimum),hours per year,1460,
mvMax4.costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost,di_ll_omf,distribution,low voltage line operations and maintenance cost per year as fraction of line cost,,0.01,
mvMax4.costDistribution.LowVoltageLineLifetime,di_ll_life,distribution,low voltage line lifetime,years,10,
mvMax4.costGrid.GridSocialInfrastructureCount,gr_so,system (grid),social infrastructure count,facility count,None,mvMax4.demand.ProjectedHealthFacilityCount;mvMax4.demand.ProjectedEducationFacilityCount;mvMax4.demand.ProjectedPublicLightingFacilityCount;mvMax4.demand.ProjectedCommercialFacilityCount
mvMax4.costGrid.GridTransformerAvailableSystemCapacities,gr_tr_cps,system (grid),available system capacities (transformer),kilowatts list,1000 900 800 700 600 500 400 300 200 100 90 80 70 60 50 40 30 20 15 5,
mvMax4.costGrid.GridTransformerActualSystemCapacityCounts,gr_tr_acps,system (grid),grid transformer actual system capacity counts,capacity count list,None,mvMax4.costGrid.GridTransformerDesiredSystemCapacity;mvMax4.costGrid.GridTransformerAvailableSystemCapacities
mvMax4.costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost,gr_ml_omf,system (grid),medium voltage line operations and maintenance cost per year as fraction of line cost,,0.01,
mvMax4.costGrid.GridMediumVoltageLineLifetime,gr_ml_life,system (grid),medium voltage line lifetime,years,30,
mvMax4.finance.ElasticityOfElectricityDemand,elasticity,finance,elasticity of electricity demand,,1.5,
mvMax4.finance.EconomicGrowthRatePerYear,economic_g,finance,economic growth rate per year,fraction per year,0.06,
mvMax4.demographics.PopulationCount,pop,demographics,population count,person count,0,
mvMax4.demographics.RuralPopulationGrowthRatePerYear,pop_g_r,demographics,population growth rate per year (rural),fraction per year,0.015,
mvMax4.demographics.UrbanPopulationGrowthRatePerYear,pop_g_u,demographics,population growth rate per year (urban),fraction per year,0.036,
mvMax4.demographics.UrbanPopulationThreshold,u_pop_thre,demographics,urban population threshold,person count,5000,
mvMax4.demographics.MeanHouseholdSize,ho_size,demographics,mean household size,person count,None,mvMax4.demographics.RuralMeanHouseholdSize;mvMax4.demographics.IsRural;mvMax4.demographics.UrbanMeanHouseholdSize
mvMax4.demand.HealthFacilityCountCurveType,he_cc_t,demand (social infrastructure),health facility count curve type,,ZeroLogisticLinear,
mvMax4.demand.HealthFacilityCountCurvePoints,he_cc_pts,demand (social infrastructure),health facility count curve points (population and facility count),population and facility count list,50 0.16; 500 1.6; 5000 5; 10000 20,
mvMax4.demand.EducationFacilityCountCurveType,ed_cc_t,demand (social infrastructure),education facility count curve type,,ZeroLogisticLinear,
mvMax4.demand.EducationFacilityCountCurvePoints,ed_cc_pts,demand (social infrastructure),education facility count curve points (population and facility count),population and facility count list,50 0.1; 500 1; 5000 3; 10000 15,
mvMax4.demand.CommercialFacilityCountCurveType,co_cc_t,demand (social infrastructure),commercial facility count curve type,,ZeroLogisticLinear,
mvMax4.demand.CommercialFacilityCountCurvePoints,co_cc_pts,demand (social infrastructure),commercial facility count curve points (population and facility count),population and facility count list,50 0.12; 500 1.2; 5000 25; 10000 125,
mvMax4.demand.PublicLightingFacilityCountCurveType,li_cc_t,demand (social infrastructure),public lighting facility count curve type,,ZeroLogisticLinear,
mvMax4.demand.PublicLightingFacilityCountCurvePoints,li_cc_pts,demand (social infrastructure),public lighting facility count curve points (population and facility count),population and facility count list,50 0.1; 500 1; 5000 7; 10000 25,
mvMax4.costOffGrid.PhotovoltaicPanelAvailableSystemCapacities,og_pp_cps,system (off-grid),available system capacities (photovoltaic panel),kilowatts list,1.5 1.0 0.4 0.15 0.075 0.05,
mvMax4.costOffGrid.PhotovoltaicPanelActualSystemCapacityCounts,og_pp_acps,system (off-grid),photovoltaic panel actual capacity counts,capacity count list,None,mvMax4.costOffGrid.PhotovoltaicPanelDesiredSystemCapacity;mvMax4.costOffGrid.PhotovoltaicPanelAvailableSystemCapacities
mvMax4.costOffGrid.DieselGeneratorAvailableSystemCapacities,og_dg_cps,system (off-grid),available system capacities (diesel generator),kilowatts list,1000 750 500 400 200 150 100 70 32 19 12 10 8 6,
mvMax4.costOffGrid.DieselGeneratorActualSystemCapacityCounts,og_dg_acps,system (off-grid),diesel generator actual system capacity counts,capacity count list,None,mvMax4.costOffGrid.DieselGeneratorDesiredSystemCapacity;mvMax4.costOffGrid.DieselGeneratorAvailableSystemCapacities
mvMax4.costOffGrid.DieselGeneratorMinimumHoursOfOperationPerYear,og_dg_mnhr,system (off-grid),diesel generator hours of operation per year (minimum),hours per year,1460,
mvMax4.costMiniGrid.DieselGeneratorDesiredSystemCapacity,mg_dg_dcp,system (mini-grid),diesel generator desired system capacity,kilowatts,None,mvMax4.demand.ProjectedPeakNodalDemand;mvMax4.costMiniGrid.DistributionLoss
mvMax4.costGrid.GridTransformerDesiredSystemCapacity,gr_tr_dcp,system (grid),grid transformer desired system capacity,kilowatts,None,mvMax4.demand.ProjectedPeakNodalDemand;mvMax4.costGrid.DistributionLoss
mvMax4.demographics.RuralMeanHouseholdSize,ho_size_r,demographics,mean household size (rural),person count,9.6,
mvMax4.demographics.IsRural,rural,demographics,is rural,binary,None,mvMax4.demographics.ProjectedPopulationCount;mvMax4.demographics.UrbanPopulationThreshold
mvMax4.demographics.UrbanMeanHouseholdSize,ho_size_u,demographics,mean household size (urban),person count,7.5,
mvMax4.costOffGrid.PhotovoltaicPanelDesiredSystemCapacity,og_pp_dcp,system (off-grid),photovoltaic panel desired capacity,kilowatts,None,mvMax4.demand.ProjectedHouseholdDemandPerYear;mvMax4.demand.ProjectedHealthFacilityDemandPerYear;mvMax4.demand.ProjectedEducationFacilityDemandPerYear;mvMax4.demand.ProjectedPublicLightingFacilityDemandPerYear;mvMax4.costOffGrid.PhotovoltaicComponentEfficiencyLoss;mvMax4.costOffGrid.PeakSunHoursPerYear
mvMax4.costOffGrid.DieselGeneratorDesiredSystemCapacity,og_dg_dcp,system (off-grid),diesel generator desired system capacity,kilowatts,None,mvMax4.demand.ProjectedPeakCommercialFacilityDemand;mvMax4.demand.ProjectedPeakProductiveDemand
mvMax4.demand.ProjectedPeakNodalDemand,p_pkdem,demand (peak),projected peak nodal demand,kilowatts,None,mvMax4.demand.ProjectedNodalDemandPerYear;mvMax4.demand.DemandToPeakDemandConversionFactor
mvMax4.costOffGrid.PhotovoltaicComponentEfficiencyLoss,og_p_loss,system (off-grid),photovoltaic component efficiency loss,fraction,0.1,
mvMax4.costOffGrid.PeakSunHoursPerYear,pksu_hr,system (off-grid),peak sun hours per year,hours per year,1320,
mvMax4.demand.ProjectedPeakCommercialFacilityDemand,p_pkdem_co,demand (peak),projected peak commercial facility demand,kilowatts,None,mvMax4.demand.ProjectedCommercialFacilityDemandPerYear;mvMax4.demand.DemandToPeakDemandConversionFactor
mvMax4.demand.ProjectedPeakProductiveDemand,p_pkdem_pr,demand (peak),projected peak productive demand,kilowatts,None,mvMax4.demand.ProjectedProductiveDemandPerYear;mvMax4.demand.DemandToPeakDemandConversionFactor
mvMax4.demand.DemandToPeakDemandConversionFactor,dem_pkdemf,demand (peak),demand to peak demand conversion factor,,None,mvMax4.demand.PeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours;mvMax4.demand.PeakElectricalHoursOfOperationPerYear
mvMax4.demand.PeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours,pkdemf,demand (peak),peak demand as fraction of nodal demand occurring during peak hours,,None,mvMax4.demand.RuralPeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours;mvMax4.demographics.IsRural;mvMax4.demand.UrbanPeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours
mvMax4.demand.PeakElectricalHoursOfOperationPerYear,pkel_hr,demand (peak),peak electrical hours of operation per year,hours per year,1460,
mvMax4.demand.RuralPeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours,pkdemf_r,demand (peak),peak demand as fraction of nodal demand occurring during peak hours (rural),,0.4,
mvMax4.demand.UrbanPeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours,pkdemf_u,demand (peak),peak demand as fraction of nodal demand occurring during peak hours (urban),,0.4,
